player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Chad Henne,4371,QB,KC,4,6,0,0,0.0,0,0,-6,0,0,0,0,0.0,0,0,16,1,0,74.4,67.7,76.3,62.7,,,61.6,60.0,-1,0,0,0,0,22,0,0,0,6,0,-6,0,0.0,-1.0,,0
Alec Ingold,34934,FB,MIA,18,6,0,0,0.0,0,0,8,2,3,0,5,11.9,0,5,17,0,0,76.4,58.3,89.2,,67.4,52.7,74.9,57.5,2,1,105,15,150,230,0,0,22,21,1,8,5,0.83,1.3,0.7,0
Davis Webb,11842,QB,NYG,1,4,1,0,0.0,0,0,25,0,0,1,5,31.3,1,2,21,0,0,80.2,33.8,0.0,33.8,,58.9,64.6,60.0,14,3,0,0,1,19,16,2,0,4,1,41,5,0.83,6.8,0.0,1
Kendrick Bourne,12270,WR,NE,16,6,4,2,112.8,44,1,39,3,3,4,28,79.7,2,2,19,2,0,23.4,63.6,22.5,,,67.8,61.4,29.8,29,4,434,35,296,131,0,0,47,41,0,39,28,4.67,6.5,1.47,0
Ja'Marr Chase,84270,WR,CIN,15,6,2,0,0.0,0,0,11,6,18,2,20,59.0,0,0,7,2,3,37.9,83.9,58.5,60.0,,85.2,47.7,56.3,6,4,1266,107,644,291,0,0,155,113,0,11,20,3.33,1.8,1.97,0
Mecole Hardman,42683,WR,KC,9,6,1,1,65.8,25,0,38,2,2,1,7,10.6,1,4,16,0,0,81.0,68.2,85.3,,,66.5,70.6,60.4,25,0,307,27,209,90,0,0,36,33,2,38,7,1.17,6.3,1.47,1
Trayveon Williams,45775,HB,CIN,6,6,0,1,53.3,16,0,30,0,1,0,31,64.6,1,1,7,0,4,81.1,82.3,79.9,,80.9,81.6,74.6,60.0,16,0,30,2,18,14,0,0,2,8,0,30,31,5.17,5.0,1.67,2
Mike White,46453,QB,NYJ,4,5,0,0,0.0,0,0,5,0,0,0,5,0.0,0,3,22,2,0,71.6,61.3,84.6,59.6,,58.4,69.2,60.0,4,0,0,0,1,93,4,1,0,5,1,9,6,1.0,1.5,0.0,0
Christian Kirk,47546,WR,JAX,19,6,1,1,62.1,18,0,29,9,8,1,10,14.3,1,1,15,1,0,85.2,72.9,81.0,60.3,62.3,75.3,51.9,40.8,18,1,1238,99,707,369,0,0,150,105,0,29,10,1.67,4.8,1.75,0
Equanimeous St. Brown,47967,WR,CHI,16,5,2,1,75.9,41,0,53,1,0,2,27,41.5,2,2,6,1,0,76.5,64.2,88.2,,80.5,60.9,67.5,69.8,41,0,323,21,280,249,1,1,38,26,0,54,27,4.5,9.0,1.15,0
Ty Chandler,62942,HB,MIN,2,6,0,0,0.0,0,0,20,0,0,0,14,0.0,1,1,18,0,2,70.6,54.0,70.9,,83.4,56.2,54.5,,10,0,0,0,5,6,0,0,0,6,0,20,14,2.33,3.3,0.0,4
Rondale Moore,62890,WR,ARZ,8,6,0,0,0.0,0,1,-5,4,7,0,5,12.4,0,1,1,0,1,79.3,63.4,87.4,,,63.6,55.4,56.9,9,1,414,41,281,157,0,0,55,47,0,-5,5,0.83,-0.8,1.47,0
Tyrod Taylor,6332,QB,NYG,3,1,1,0,0.0,0,0,13,0,0,0,4,0.0,2,4,21,2,0,15.1,58.3,76.4,52.6,,,65.5,60.0,32,0,0,0,0,16,57,4,0,1,0,70,33,6.6,14.0,,1
Sam Howell,97599,QB,WAS,1,2,2,0,0.0,0,0,8,0,0,2,4,200.0,1,4,32,0,0,77.5,68.5,79.0,61.5,,,75.6,60.0,10,0,0,0,0,38,27,3,0,2,1,35,7,1.4,7.0,,1
Jameis Winston,9434,QB,NO,3,2,2,0,0.0,0,0,5,0,0,0,3,0.0,0,0,20,3,0,39.6,65.3,83.2,66.9,,,37.5,62.1,6,1,0,0,0,59,11,3,0,2,0,16,18,3.6,3.2,,0
Michael Burton,9601,FB,KC,18,5,0,0,0.0,0,0,7,0,0,0,6,0.0,0,2,16,0,0,72.8,70.4,81.5,,67.5,71.6,57.8,71.0,6,0,11,2,7,57,0,0,3,7,0,7,6,1.2,1.4,1.57,0
Montrell Washington,64310,WR,DEN,14,5,4,1,63.3,19,0,30,1,1,4,36,400.0,1,1,10,0,1,36.4,56.6,79.2,,,48.4,81.1,57.0,19,0,2,4,52,23,0,0,10,9,0,30,36,7.2,6.0,0.04,1
Skyy Moore,97116,WR,KC,19,5,0,0,0.0,0,0,31,1,7,0,5,21.9,1,1,16,0,0,84.4,67.7,85.1,,,67.6,56.3,63.8,12,0,267,27,208,161,0,0,41,32,0,31,5,1.0,6.2,1.28,0
Jonathan Ward,25859,HB,TEN,2,5,0,0,0.0,0,0,25,0,1,0,13,37.1,2,2,31,0,2,71.9,73.1,70.2,,,71.5,70.1,,12,0,7,2,5,5,0,0,3,7,0,25,13,2.6,5.0,1.4,2
Case Keenum,7323,QB,BUF,2,5,0,0,,0,0,0,0,0,0,0,0.0,0,0,4,0,0,73.2,28.5,75.3,27.3,,,58.1,60.0,4,0,0,0,0,17,0,0,0,5,0,0,0,0.0,0.0,,1
Julio Jones,6158,WR,TB,11,5,1,1,33.3,15,0,45,0,2,1,14,23.3,3,4,30,0,0,78.0,66.0,87.1,,,65.3,61.3,61.6,15,0,373,31,280,91,0,0,53,36,0,45,14,2.8,9.0,1.33,0
Elijah Moore,84302,WR,NYJ,16,5,3,0,0.0,0,1,5,0,11,3,12,80.0,1,2,22,1,0,78.7,57.5,73.4,,,58.1,67.3,43.5,10,2,446,37,495,215,0,0,59,42,0,5,12,2.4,1.0,0.9,0
Nate Sudfeld,10821,QB,DET,2,5,0,0,0.0,0,0,-4,0,0,0,0,0.0,0,0,11,0,0,70.4,60.0,72.3,60.0,,,61.3,60.0,0,0,0,0,0,8,0,0,0,5,0,-4,0,0.0,-0.8,,0
Parris Campbell,47940,WR,IND,17,5,3,2,93.1,54,0,58,3,13,3,19,89.4,2,2,14,1,0,81.3,60.8,67.1,,,61.2,65.4,50.2,28,2,623,63,603,342,0,0,85,68,0,58,19,3.8,11.6,1.03,0
Jalen Reagor,61697,WR,MIN,14,4,1,1,68.0,17,0,25,0,0,1,4,8.3,1,1,18,0,0,23.4,68.2,79.1,,,68.2,60.5,59.5,17,0,104,8,53,27,0,0,13,12,0,25,4,1.0,6.3,1.96,0
Justin Jefferson,61398,WR,MIN,18,3,1,0,0.0,0,1,16,7,11,1,5,14.5,1,2,18,0,0,86.0,90.2,72.1,62.1,,90.2,65.2,63.5,10,4,1857,135,729,358,8,1,185,138,1,24,5,1.25,6.0,2.55,0
Adam Prentice,35639,FB,NO,11,4,0,0,0.0,0,0,9,0,0,0,6,0.0,0,3,20,1,1,18.2,54.0,85.5,,76.5,33.6,70.0,52.8,3,0,9,3,21,84,0,0,3,7,0,9,6,1.5,2.3,0.43,1
C.J. Beathard,11859,QB,JAX,4,4,0,0,0.0,0,0,-4,0,0,0,0,0.0,0,0,15,0,0,74.4,57.6,75.9,56.3,,,61.0,60.0,-1,1,0,0,0,15,0,0,0,4,0,-4,0,0.0,-1.0,,0
Garrett Wilson,97405,WR,NYJ,17,4,1,0,0.0,0,1,4,2,22,1,7,46.3,0,0,22,2,0,28.2,82.7,42.5,60.0,35.6,85.9,31.2,50.9,7,5,1103,83,595,267,0,0,139,87,0,4,7,1.75,1.0,1.85,0
Trevor Siemian,9683,QB,CHI,2,3,0,0,0.0,0,0,2,0,0,0,3,0.0,0,1,6,0,0,78.0,33.9,78.6,33.5,,,56.1,60.5,6,0,0,0,0,31,6,1,0,3,0,8,4,1.0,2.0,,0
Mack Hollins,11873,WR,LV,17,4,1,2,68.8,33,0,48,4,5,1,14,34.4,2,2,23,0,0,80.7,63.8,59.8,60.0,77.9,61.4,77.3,74.9,17,7,690,57,605,384,0,0,89,61,0,48,14,3.5,12.0,1.14,0
Josh Johnson,4474,QB,SF,3,4,0,0,0.0,0,0,5,0,0,0,6,0.0,0,1,28,1,0,23.9,48.1,0.0,69.9,,,38.9,60.0,4,3,0,0,0,28,0,0,0,4,0,5,6,1.5,1.3,,0
Trent Taylor,11932,WR,CIN,16,4,1,0,0.0,0,0,15,0,1,1,8,40.0,0,0,7,0,0,25.6,53.8,24.8,,65.7,53.4,60.2,67.1,9,1,62,6,79,64,0,0,10,10,0,15,8,2.0,3.8,0.78,0
Treylon Burks,99218,WR,TEN,11,4,0,2,74.5,35,1,47,1,4,0,20,54.1,2,3,31,0,0,78.1,74.1,0.0,,,73.9,72.7,75.8,20,5,444,33,254,128,0,0,53,37,0,47,20,5.0,11.8,1.75,1
DJ Turner,47663,WR,LV,6,4,1,1,69.2,18,0,26,1,0,1,22,137.5,1,1,23,0,0,75.0,41.8,73.7,,,42.0,53.5,59.7,18,0,0,0,8,13,0,0,1,4,0,26,22,5.5,6.5,0.0,0
Mark Andrews,47436,TE,BLT,16,4,0,0,0.0,0,0,8,4,3,0,7,6.4,0,3,3,1,1,53.2,80.7,89.8,,67.1,79.4,69.7,70.1,4,1,920,78,466,356,0,0,119,82,0,8,7,1.75,2.0,1.97,1
Ray-Ray McCloud III,47895,WR,SF,19,4,0,1,91.0,71,1,78,2,0,0,10,0.0,1,1,28,0,2,53.1,68.9,84.6,,62.4,69.6,62.4,47.4,71,1,243,14,172,111,0,0,21,18,1,78,10,2.5,19.5,1.41,1
Zander Horvath,57384,FB,LAC,15,4,0,0,0.0,0,0,8,0,0,0,4,0.0,0,2,27,0,0,71.6,55.1,83.4,,40.7,46.9,64.1,60.1,3,0,8,5,32,67,0,0,7,9,0,8,4,1.0,2.0,0.25,0
Pharoh Cooper,10751,WR,ARZ,3,4,0,0,0.0,0,0,15,0,0,0,11,0.0,0,0,1,0,4,83.4,46.8,76.4,,,55.5,61.5,28.7,6,1,6,2,13,12,0,0,2,6,0,15,11,2.75,3.8,0.46,0
David Blough,46508,QB,ARZ,2,2,0,0,0.0,0,0,-2,0,0,0,2,0.0,0,0,1,1,0,45.4,50.3,81.0,51.9,,,49.1,61.4,4,0,0,0,0,39,7,2,0,2,0,5,8,2.0,1.3,,0
Rashid Shaheed,63707,WR,NO,12,4,3,1,77.2,44,0,57,0,0,3,5,11.7,1,2,20,1,0,89.8,80.8,85.4,,,78.6,80.7,57.6,44,0,487,28,188,105,0,0,34,32,1,57,5,1.25,14.3,2.59,0
D'Ernest Johnson,45734,HB,CLV,6,4,1,0,0.0,0,0,17,0,0,1,12,42.9,0,1,8,0,3,71.7,66.1,79.0,,82.1,58.4,67.1,60.0,7,0,7,3,19,10,0,0,3,7,0,17,12,3.0,4.3,0.37,1
C.J. Ham,11347,FB,MIN,18,4,0,0,0.0,0,0,7,0,2,0,5,17.9,0,3,18,0,0,73.4,59.8,85.5,,54.7,77.7,66.6,43.7,3,0,86,10,47,100,0,0,12,14,2,7,5,1.25,1.8,1.83,0
Jaylen Waddle,84088,WR,MIA,18,4,0,0,0.0,0,0,34,9,7,0,5,10.7,0,1,17,1,0,53.1,82.6,77.8,,65.7,83.5,67.1,46.6,9,1,1400,78,569,239,0,0,121,82,0,34,5,1.25,8.5,2.46,0
Anthony Schwartz,84135,WR,CLV,10,4,1,2,80.7,46,1,57,2,0,1,10,31.3,2,2,8,1,0,18.9,50.8,12.8,,,47.3,76.3,55.9,31,1,51,4,62,41,0,0,10,8,1,57,10,2.5,14.3,0.82,0
Zay Jones,11792,WR,JAX,18,4,1,0,0.0,0,0,18,8,9,1,10,25.3,1,1,15,0,0,83.6,66.5,91.4,,75.6,67.1,66.1,44.3,14,0,980,95,667,353,0,0,137,99,0,18,10,2.5,4.5,1.47,0
Ameer Abdullah,9487,HB,LV,15,4,0,0,0.0,0,0,20,0,2,0,14,24.1,0,2,23,0,3,83.8,66.4,14.7,,29.8,81.1,68.8,59.9,7,1,211,25,134,7,0,0,32,29,0,20,14,3.5,5.0,1.57,0
Nick Mullens,12282,QB,MIN,4,2,0,0,0.0,0,0,2,0,0,0,1,0.0,0,1,18,0,0,77.3,69.0,78.5,69.9,,,57.1,60.0,4,0,0,0,0,27,6,2,0,2,0,8,1,0.25,2.0,,0
Godwin Igwebuike,49166,HB,SEA,2,3,0,0,0.0,0,0,4,0,0,0,4,0.0,0,0,29,0,0,79.6,66.4,69.5,,,65.4,64.3,59.9,4,0,3,1,1,4,0,0,1,4,0,4,4,1.33,1.3,3.0,3
K.J. Osborn,23503,WR,MIN,18,3,2,0,0.0,0,0,6,0,6,2,10,41.0,0,2,18,1,0,46.6,65.2,67.1,,71.5,65.3,63.3,53.8,5,2,670,62,622,241,0,0,88,65,0,6,10,3.33,2.0,1.08,0
Michael Pittman Jr.,29049,WR,IND,16,3,1,1,63.3,19,0,30,5,5,1,12,23.5,2,2,14,2,0,34.3,70.6,80.6,,,70.3,63.5,59.1,19,1,925,99,641,388,0,0,139,102,0,30,12,4.0,10.0,1.44,0
Chris Godwin,11839,WR,TB,16,3,0,0,0.0,0,0,5,5,11,0,6,18.8,0,0,30,2,0,38.7,75.7,44.5,,73.9,76.8,50.1,59.0,2,4,1108,114,640,271,0,0,150,117,0,5,6,2.0,1.7,1.73,0
Anthony Brown,40316,QB,BLT,2,3,0,0,0.0,0,0,-5,0,0,0,0,0.0,0,0,3,1,0,38.8,36.2,80.6,36.0,,,60.5,60.0,-1,0,0,0,0,45,0,0,0,3,0,-5,0,0.0,-1.7,,0
Brandon Allen,10835,QB,CIN,1,3,0,0,0.0,0,0,-1,0,0,0,1,0.0,0,1,7,0,0,70.5,74.9,73.9,70.1,,,65.7,60.0,2,0,0,0,0,12,0,0,0,3,0,-1,1,0.33,-0.3,,0
Devine Ozigbo,45903,HB,DEN,3,3,0,0,0.0,0,0,4,0,0,0,4,0.0,0,0,10,0,1,68.2,53.5,72.3,,74.4,61.5,52.3,60.0,4,0,3,1,5,5,0,0,1,4,0,4,4,1.33,1.3,0.6,2
Chris Moore,10741,WR,HST,16,3,0,0,0.0,0,1,3,3,10,0,4,26.1,0,0,13,0,0,79.5,63.2,74.2,,70.0,64.2,54.0,48.1,3,1,548,48,441,213,0,0,72,51,0,3,4,1.33,1.0,1.24,0
Jakobi Meyers,47468,WR,NE,14,2,0,0,0.0,0,0,9,1,2,0,3,4.3,0,2,19,2,0,48.3,75.6,58.2,,,75.8,69.2,59.9,7,3,803,67,423,236,0,0,93,69,0,-11,3,1.5,-5.5,1.9,0
Reggie Bonnafon,47542,HB,WAS,1,3,0,0,0.0,0,0,8,0,0,0,8,0.0,0,0,32,0,3,67.2,48.8,65.5,,,,52.0,,5,0,0,0,0,3,0,0,0,3,0,8,8,2.67,2.7,,0
KaVontae Turpin,47658,WR,DAL,18,3,0,0,0.0,0,0,17,0,0,0,5,0.0,1,1,9,0,0,90.4,53.0,78.7,,,52.5,57.7,61.2,11,0,17,2,26,38,0,0,2,5,0,17,5,1.67,5.7,0.65,1
Davante Adams,8688,WR,LV,17,3,1,0,0.0,0,0,-1,6,16,1,4,22.0,0,0,23,1,0,59.2,90.1,70.6,60.0,66.1,90.5,51.4,57.1,4,2,1516,100,618,386,0,0,168,103,0,-1,4,1.33,-0.3,2.45,0
Teddy Bridgewater,8667,QB,MIA,5,0,0,0,0.0,0,0,0,0,0,0,,100.0,2,2,17,0,0,84.3,71.2,0.0,72.0,,,68.8,60.0,11,4,0,0,0,49,27,3,0,0,0,27,16,5.33,9.0,,0
Jerry Jeudy,61103,WR,DEN,15,3,1,0,0.0,0,0,26,6,5,1,19,53.5,2,3,10,0,0,81.5,78.4,74.1,,,77.9,63.9,62.9,13,1,987,68,452,234,0,0,100,71,0,26,19,6.33,8.7,2.18,0
Quez Watkins,61664,WR,PHI,20,3,0,0,,0,0,0,1,4,0,5,18.0,0,0,24,1,0,30.7,52.7,75.5,,66.2,54.2,56.2,41.9,3,1,362,34,452,310,0,0,53,37,0,0,5,1.67,0.0,0.8,0
Tyquan Thornton,78092,WR,NE,13,3,0,1,118.8,19,0,16,3,1,0,3,4.0,1,1,19,0,0,75.9,55.2,87.1,,,54.3,59.8,59.8,19,0,247,22,326,178,0,0,43,25,1,16,3,1.0,5.3,0.76,0
Chigoziem Okonkwo,84000,TE,TEN,17,3,2,0,0.0,0,0,2,3,7,2,5,42.9,0,0,31,0,0,77.6,75.4,52.5,,67.6,84.6,50.2,55.3,6,3,449,32,172,184,0,0,45,35,0,2,5,1.67,0.7,2.61,0
Joe Flacco,4332,QB,NYJ,5,2,0,0,0.0,0,0,-1,0,0,0,0,0.0,0,1,22,5,0,28.2,53.3,84.8,52.8,,,61.5,60.0,7,2,-3,0,0,82,7,1,0,2,0,6,14,4.67,2.0,,0
George Pickens,99229,WR,PIT,17,3,0,1,91.7,22,0,24,4,7,0,7,29.7,1,2,25,0,0,80.6,68.8,78.0,,,69.3,62.5,48.3,22,3,801,52,580,263,0,0,84,55,1,24,7,2.33,8.0,1.38,0
Ashton Dulin,91479,WR,IND,12,2,0,0,0.0,0,0,8,0,1,0,1,2.9,0,1,14,0,0,73.9,71.6,84.6,,67.1,69.6,61.5,72.7,5,0,207,15,120,98,0,0,20,17,0,8,1,0.5,4.0,1.73,0
Duke Johnson Jr.,9510,HB,BUF,1,2,0,0,0.0,0,0,4,0,0,0,4,0.0,0,1,4,0,1,74.5,61.1,66.6,,71.3,58.2,60.7,,4,0,0,0,2,2,0,0,0,2,0,4,4,2.0,2.0,0.0,1
Ty Montgomery,9527,HB,NE,1,2,0,0,0.0,0,0,-2,0,0,0,0,0.0,0,0,19,0,1,70.1,63.9,73.4,,82.7,71.8,56.2,60.0,0,0,15,3,11,3,0,0,4,5,0,-2,0,0.0,-1.0,1.36,1
DeAndre Carter,9859,WR,LAC,18,2,0,0,0.0,0,0,-15,2,1,0,0,0.0,0,0,27,1,0,51.8,61.6,87.8,60.0,68.8,63.9,56.7,31.2,-5,0,555,48,514,188,0,0,67,50,0,-15,0,0.0,-7.5,1.08,0
Noah Gray,60878,TE,KC,20,2,0,0,0.0,0,0,1,1,4,0,0,0.0,0,1,16,0,0,78.3,60.7,87.4,,43.3,61.0,58.9,58.0,1,1,336,31,338,318,0,0,37,33,1,1,0,0.0,0.5,0.99,0
Cole Kmet,60995,TE,CHI,17,2,0,0,0.0,0,0,9,2,6,0,1,5.8,0,1,6,1,0,39.0,67.6,62.4,,68.8,66.1,70.0,65.1,8,5,544,50,428,459,0,0,69,52,0,9,1,0.5,4.5,1.27,0
Amari Rodgers,61212,WR,HST,14,2,0,0,0.0,0,0,7,1,2,0,3,16.7,0,0,13,2,1,24.3,62.1,50.8,,,64.1,49.8,54.8,4,1,204,16,162,96,0,0,23,18,0,7,3,1.5,3.5,1.26,0
K.J. Hamler,61590,WR,DEN,7,2,2,0,0.0,0,0,23,0,0,2,16,177.8,1,1,10,0,0,71.1,57.5,49.1,,,55.4,68.5,74.0,14,1,165,7,156,60,0,0,15,9,0,23,16,8.0,11.5,1.06,0
Jamie Gillan,63303,P,NYG,4,2,0,0,0.0,0,0,-3,0,0,0,0,0.0,0,0,21,1,0,14.3,25.6,68.4,60.0,,,60.0,,0,1,0,0,0,3,0,0,0,2,0,-3,0,0.0,-1.5,,0
Allen Lazard,48135,WR,GB,15,2,0,0,,0,0,0,4,3,0,2,4.8,0,0,12,0,0,80.8,69.0,54.1,,69.8,73.9,50.2,39.0,1,4,788,60,488,346,0,0,98,62,0,0,2,1.0,0.0,1.61,0
Dante Pettis,48113,WR,CHI,17,2,0,1,78.4,29,0,37,3,3,0,0,0.0,1,2,6,0,0,84.5,53.3,50.1,,75.3,53.5,67.4,50.8,29,3,245,19,308,196,0,0,36,21,0,37,0,0.0,18.5,0.8,0
Marquise Goodwin,7859,WR,SEA,13,2,0,0,0.0,0,0,5,2,3,0,1,5.2,0,0,29,0,0,76.7,64.5,63.1,,65.8,64.5,59.9,59.1,7,1,387,27,299,102,0,0,39,29,0,5,1,0.5,2.5,1.29,0
Travis Kelce,7844,TE,KC,20,2,0,0,0.0,0,0,5,6,25,0,4,36.0,0,1,16,2,1,51.7,91.3,68.6,,73.1,91.6,56.9,61.2,4,4,1596,137,703,293,0,0,182,139,0,5,4,2.0,2.5,2.27,0
Durham Smythe,47257,TE,MIA,17,2,0,0,0.0,0,0,1,0,0,0,0,0.0,0,1,17,0,0,75.3,62.7,87.0,,59.2,56.6,62.1,64.2,1,0,149,16,176,316,0,0,20,18,1,1,0,0.0,0.5,0.85,0
Wan'Dale Robinson,101735,WR,NYG,6,2,1,0,0.0,0,0,-1,2,3,1,2,16.0,0,0,21,0,1,75.8,72.0,84.2,,,70.9,57.2,71.3,4,0,227,23,129,89,0,0,30,25,0,-1,2,1.0,-0.5,1.76,0
Tyler Conklin,47124,TE,NYJ,17,2,0,0,0.0,0,0,3,4,3,0,1,2.5,0,2,22,2,0,43.1,58.6,81.0,,37.6,60.6,70.7,51.1,2,2,552,58,487,289,0,0,83,60,0,3,1,0.5,1.5,1.13,0
Andrew Beck,47121,FB,DEN,13,2,1,0,,0,0,0,1,0,1,3,21.4,0,0,10,0,0,70.0,48.4,45.6,,61.3,53.3,52.5,50.8,1,1,69,5,50,131,0,0,11,7,0,0,3,1.5,0.0,1.38,0
Nick Foles,7089,QB,IND,3,1,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,14,0,0,80.9,34.0,79.9,35.3,,,53.6,60.0,8,0,0,0,0,30,8,1,0,1,0,8,2,1.0,4.0,,0
Tim Boyle,21956,QB,CHI,1,2,0,0,0.0,0,0,-2,0,0,0,0,0.0,0,0,6,0,0,72.3,35.2,73.2,35.4,,,60.0,60.0,-1,0,0,0,0,4,0,0,0,2,0,-2,0,0.0,-1.0,,0
Olamide Zaccheaus,44920,WR,ATL,17,2,2,0,0.0,0,1,7,1,7,2,16,171.4,1,1,2,1,1,30.0,64.6,45.8,,69.4,67.4,59.4,47.8,13,3,533,40,362,351,0,0,61,42,0,7,16,8.0,3.5,1.47,0
Brandon Aiyuk,84109,WR,SF,20,2,0,1,69.6,16,0,23,6,16,0,8,74.4,1,1,28,1,0,54.5,78.7,81.8,,,79.5,68.5,53.8,16,3,1124,84,618,512,0,0,121,86,0,23,8,4.0,11.5,1.82,0
Evan Engram,11778,TE,JAX,19,2,0,0,0.0,0,0,13,4,13,0,4,29.9,1,1,15,0,1,82.8,67.6,68.4,,59.4,68.3,62.3,60.1,13,4,890,85,614,323,0,0,114,87,0,13,4,2.0,6.5,1.45,0
Jahan Dotson,84375,WR,WAS,12,2,0,0,0.0,0,0,-7,3,2,0,1,2.7,0,0,32,0,0,78.0,70.5,72.8,,,74.0,50.5,36.3,3,3,523,35,376,248,0,0,56,37,0,-7,1,0.5,-3.5,1.39,0
David Njoku,11784,TE,CLV,14,2,0,0,0.0,0,0,-8,4,6,0,6,30.0,0,0,8,1,0,43.5,73.7,82.3,,76.3,78.7,59.2,52.3,-2,1,628,58,405,335,0,0,79,60,0,-8,6,3.0,-4.0,1.55,0
Deven Thompkins,84480,WR,TB,5,2,0,1,65.4,17,0,26,0,4,0,8,228.6,1,1,30,0,0,43.1,58.8,80.1,,,55.7,68.5,61.3,17,0,32,5,45,33,0,0,10,7,0,26,8,4.0,13.0,0.71,0
Breshad Perriman,9459,WR,TB,11,2,0,0,0.0,0,0,-7,1,3,0,0,0.0,0,0,30,2,0,19.9,51.7,47.4,,,54.7,57.3,40.3,0,1,110,9,138,84,0,0,19,11,0,-7,0,0.0,-3.5,0.8,0
Armani Rogers,40034,TE,WAS,11,2,2,1,92.3,24,0,26,0,1,2,32,685.7,1,1,32,0,0,70.0,59.4,46.9,,23.8,65.3,68.0,52.9,24,1,64,5,61,91,0,0,6,7,0,26,32,16.0,13.0,1.05,0
Michael Dickson,35381,P,SEA,2,2,0,0,0.0,0,0,-18,0,0,0,5,0.0,0,0,29,2,0,14.3,45.7,67.4,,,,60.0,,-8,0,0,0,0,2,0,0,0,2,0,-18,5,2.5,-9.0,,0
Kendall Hinton,34045,WR,DEN,12,2,0,0,0.0,0,0,13,3,3,0,2,11.5,1,1,10,0,0,78.3,58.5,86.0,,,59.1,59.9,45.4,13,0,311,24,286,147,0,0,31,26,0,13,2,1.0,6.5,1.09,0
D'Wayne Eskridge,29573,WR,SEA,9,2,0,0,0.0,0,1,10,0,1,0,4,22.2,0,0,29,0,0,76.1,54.1,34.0,,62.4,57.5,50.1,48.7,6,3,58,7,93,66,0,0,12,9,0,10,4,2.0,5.0,0.62,0
Richie James Jr.,28991,WR,NYG,17,2,1,0,0.0,0,0,6,3,2,1,11,23.6,0,0,21,0,0,29.0,72.0,53.5,,68.1,72.7,59.5,55.8,4,2,651,68,404,178,0,0,82,70,0,6,11,5.5,3.0,1.61,0
Nathan Peterman,11926,QB,CHI,3,0,0,0,0.0,0,1,0,0,0,0,,100.0,0,0,6,0,0,77.0,66.7,77.7,68.0,,,54.5,60.0,6,1,0,0,0,16,7,2,0,0,0,7,0,0.0,3.5,,0
C.J. Moore,26617,S,DET,2,2,0,1,76.4,42,0,55,0,0,0,3,0.0,2,2,11,0,0,65.2,75.2,65.7,,,,77.7,,42,0,0,0,0,2,0,0,0,2,0,55,3,1.5,27.5,,1
Trey Sermon,57372,HB,PHI,2,2,1,0,0.0,0,0,19,0,0,1,12,300.0,1,2,24,0,0,65.2,71.1,69.8,,,54.9,71.7,60.0,14,0,0,0,5,3,0,0,0,2,0,19,12,6.0,9.5,0.0,2
Connor Heyward,57301,TE,PIT,17,2,0,1,77.8,21,0,27,1,1,0,6,21.4,1,2,25,0,0,73.0,74.1,81.8,,31.6,77.6,67.8,55.5,21,0,151,12,81,85,0,0,15,14,0,27,6,3.0,13.5,1.86,0
Damien Williams,9205,HB,ATL,1,2,1,0,0.0,0,0,2,0,0,1,3,75.0,0,0,2,0,2,65.2,55.2,70.2,,,55.6,56.8,59.6,2,0,0,0,5,5,0,0,0,2,0,2,3,1.5,1.0,0.0,0
Brandin Cooks,8655,WR,HST,13,2,0,0,0.0,0,0,7,6,1,0,2,1.7,0,0,13,0,0,80.6,72.3,89.4,,,71.9,53.6,62.5,5,1,699,56,427,207,0,0,88,58,0,7,2,1.0,3.5,1.64,0
George Kittle,11901,TE,SF,18,1,0,0,0.0,0,1,4,2,11,0,6,93.0,0,0,28,1,1,49.7,84.7,77.2,,42.7,87.8,62.5,69.5,4,5,929,70,517,432,0,0,90,71,0,4,6,6.0,4.0,1.8,0
Andy Isabella,47448,WR,BLT,6,1,1,0,0.0,0,0,1,0,0,1,2,66.7,0,0,3,0,1,66.2,50.8,80.8,,,53.9,56.8,40.1,1,1,21,2,51,24,0,0,5,3,0,1,2,2.0,1.0,0.41,0
Dyami Brown,77986,WR,WAS,15,1,0,1,100.0,15,0,15,0,1,0,1,16.7,1,1,32,0,0,69.1,65.8,82.7,,,68.3,63.1,37.7,15,0,143,5,87,79,0,0,12,6,0,15,1,1.0,15.0,1.64,0
Gerald Everett,11799,TE,LAC,17,1,0,0,,0,0,0,5,18,0,1,27.7,0,0,27,0,0,80.8,70.6,80.1,,76.5,73.4,,48.2,0,1,664,64,473,188,0,0,89,65,0,0,1,1.0,0.0,1.4,0
Bennett Skowronek,27948,WR,LA,14,1,0,1,100.0,17,0,17,1,2,0,0,0.0,1,1,26,0,0,78.1,57.2,73.8,,78.7,56.4,63.1,54.6,17,2,376,39,411,254,0,0,58,40,1,17,0,0.0,17.0,0.91,0
